,ssec,wti,ine
2018/3/27,0.009575563,0.026859979,0.029884382
2018/3/28,0.010345154,0.025278516,0.026105827
2018/3/29,0.012219992,0.02357106,0.031925025
2018/3/30,0.01202329,0.022059735,0.023311006
2018/3/31,0.009235257,0.02051157,0.028806536
2018/4/1,0.007789593,0.019755926,0.0270488
2018/4/2,0.007134821,0.020529234,0.023401384
2018/4/3,0.006965129,0.023134273,0.019567574
2018/4/4,0.008672065,0.02172609,0.028685005
2018/4/5,0.007589151,0.020211328,0.021613726
2018/4/6,0.00707608,0.019038883,0.018053653
2018/4/7,0.006846757,0.020530036,0.016240118
2018/4/8,0.006771308,0.019599258,0.015261904
2018/4/9,0.006795072,0.018479261,0.014721521
2018/4/10,6.89E-03,1.92E-02,1.45E-02
2018/4/11,0.012489234,0.022612406,0.026274245
2018/4/12,9.96E-03,2.23E-02,2.32E-02
2018/4/13,0.009823566,0.020779793,0.024730854
2018/4/14,9.08E-03,1.95E-02,1.91E-02
2018/4/15,0.009821189,0.018295686,0.016279634
2018/4/16,1.13E-02,1.76E-02,1.50E-02
2018/4/17,1.32E-02,1.78E-02,1.48E-02
2018/4/18,1.32E-02,1.71E-02,1.45E-02
2018/4/19,1.10E-02,2.11E-02,1.62E-02
2018/4/20,0.010084996,0.019777221,0.028477751
2018/4/21,1.25E-02,1.86E-02,2.05E-02
2018/4/22,1.14E-02,1.75E-02,1.68E-02
2018/4/23,9.49E-03,1.67E-02,1.53E-02
2018/4/24,0.007902057,0.016164359,0.014665443
2018/4/25,1.45E-02,1.64E-02,2.24E-02
2018/4/26,1.06E-02,1.57E-02,1.81E-02
2018/4/27,1.22E-02,1.51E-02,1.60E-02
2018/4/28,9.28E-03,1.46E-02,1.67E-02
2018/4/29,7.86E-03,1.42E-02,1.64E-02
2018/4/30,0.00720571,0.013847449,0.015917485
2018/5/1,6.91E-03,1.38E-02,1.54E-02
2018/5/2,6.78E-03,1.49E-02,1.50E-02
2018/5/3,6.74E-03,1.46E-02,1.46E-02
2018/5/4,7.85E-03,1.45E-02,1.70E-02
2018/5/5,7.44E-03,1.62E-02,1.67E-02
2018/5/6,7.21E-03,1.66E-02,1.87E-02
2018/5/7,8.86E-03,1.62E-02,2.20E-02
2018/5/8,1.20E-02,1.56E-02,2.61E-02
2018/5/9,1.04E-02,1.55E-02,2.04E-02
2018/5/10,8.30E-03,1.95E-02,1.87E-02
2018/5/11,7.96E-03,1.84E-02,3.46E-02
2018/5/12,7.55E-03,1.80E-02,2.35E-02
2018/5/13,7.07E-03,1.72E-02,1.82E-02
2018/5/14,6.88E-03,1.63E-02,1.64E-02
2018/5/15,7.11E-03,1.58E-02,1.66E-02
2018/5/16,7.76E-03,1.51E-02,1.63E-02
2018/5/17,8.44E-03,1.46E-02,1.54E-02
2018/5/18,8.02E-03,1.42E-02,1.84E-02
2018/5/19,1.07E-02,1.38E-02,2.10E-02
2018/5/20,0.010691981,0.013692746,0.018812385
2018/5/21,9.98E-03,1.42E-02,1.62E-02
2018/5/22,9.07E-03,1.56E-02,1.54E-02
2018/5/23,7.68E-03,1.51E-02,1.52E-02
2018/5/24,1.15E-02,1.47E-02,1.49E-02
2018/5/25,0.009287884,0.01563588,0.015135822
2018/5/26,8.24E-03,2.36E-02,1.66E-02
2018/5/27,7.65E-03,2.65E-02,2.04E-02
2018/5/28,7.29E-03,2.70E-02,2.56E-02
2018/5/29,7.04E-03,2.62E-02,3.15E-02
2018/5/30,7.46E-03,2.42E-02,2.20E-02
2018/5/31,1.78E-02,2.41E-02,1.75E-02
2018/6/1,1.65E-02,2.32E-02,2.04E-02
2018/6/2,1.22E-02,2.29E-02,1.72E-02
2018/6/3,9.32E-03,2.24E-02,1.54E-02
2018/6/4,7.83E-03,2.18E-02,1.51E-02
2018/6/5,0.007884129,0.021050941,0.01638446
2018/6/6,8.59E-03,2.02E-02,1.64E-02
2018/6/7,7.47E-03,1.92E-02,1.52E-02
2018/6/8,7.10E-03,1.95E-02,1.64E-02
2018/6/9,0.011115127,0.018469533,0.01785938
2018/6/10,1.10E-02,1.74E-02,1.64E-02
2018/6/11,9.89E-03,1.65E-02,1.51E-02
